original_text	original_label	transformed_text	transformed_label
A great way to finish a great.	1	angstrom unit great fashion to finishing angstrom unit great.	1
My first visit to Hiro was a delight!	1	My number one visit to Hiro WA angstrom delight!	1
- Really, really good rice, all the time.	1	- Really, genuinely good rice, all the time.	1
Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!	1	Lordy, the Khao Soi be angstrom dish that be non to atomic number 4 lose for curry lovers!	1
The food is very good for your typical bar food.	1	The nutrient be very good for your typical saloon food.	1
I love the owner/chef, his one authentic Japanese cool dude!	1	atomic number 53 love the owner/chef, his unity reliable Nipponese cool dude!	1
The yellowtail carpaccio was melt in your mouth fresh.	1	The yellowtail snapper carpaccio Washington melting inch your rima oris fresh.	1
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.	1	The sergeant Madagascar pepper beef cattle sandwich with auju sauce be Associate in Nursing first-class sandwich arsenic well.	1
The food was excellent and service was very good.	1	The nutrient Washington splendid and service Washington very good.	1
Service is also cute.	1	Service be likewise cute.	1
The cocktails are all handmade and delicious.	1	The cocktail ar all hand-crafted and delicious.	1
I loved the grilled pizza, reminded me of legit Italian pizza.	1	iodin love the grill pizza, remind Pine Tree State of legit Italian pizza.	1
It was absolutely amazing.	1	information technology Washington utterly amazing.	1
The sweet potato tots were good but the onion rings were perfection or as close as I have had.	1	The Henry Sweet murphy tot be good just the onion rings be ne plus ultra Beaver State atomic number 33 last atomic number 33 iodin wealthy person had.	1
My girlfriend's veal was very bad.	0	My girlfriend's veau Washington very bad.	0
On a positive note, our server was very attentive and provided great service.	1	On angstrom positive degree note, our waiter Washington very attentive and supply great service.	1
If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.	0	If that bug ne'er demonstrate up iodin would wealthy person precondition angstrom quartet for sure, simply on the other side of the wall where this bug Washington climb Washington the kitchen.	0
The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.	0	The staff ar now non arsenic friendly, the postponement times for beingness serve ar horrible, no single eve say hullo for the number one tenner minutes.	0
Never going back.	0	ne'er going away back.	0
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!	1	Some may say this sideboard be dear only iodin think you get what you remuneration for and this spot you ar acquiring rather angstrom lot!	1
The owner used to work at Nobu, so this place is really similar for half the price.	1	The proprietor apply to work atomic number 85 Nobu, sol this topographic point be genuinely similar for one-half the price.	1
Food was really good and I got full petty fast.	1	nutrient Washington truly good and iodin acquire full phase of the moon petty larceny fast.	1
We've tried to like this place but after 10+ times I think we're done with them.	0	We've try to the likes of this topographic point simply after 10+ times atomic number 53 think we're do with them.	0
So don't go there if you are looking for good food...	0	soh don't turn there if you ar looking at for good food...	0
The scallop dish is quite appalling for value as well.	0	The crenelle dish be rather appalling for value atomic number 33 well.	0
It kept getting worse and worse so now I'm officially done.	0	information technology hold acquiring worse and worse soh now I'm officially done.	0
